country.x,dataset_key.x,dataset_party_id.x,name_short.x,name.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,description.x,comment.x,created.x,modified.x,external_id.x,partyfacts_id,linked.x,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y,description.y,comment.y,created.y,modified.y,external_id.y,linked.y
ARG,manifesto,150202,FREPASO,Frente para un País Solidario,Front for a Country in Solidarity,1995,1995,20.7,1995,NA,NA,2018-08-02T13:23:01Z,2023-06-05T10:39:41Z,25054,5553,2018-08-02T13:23:01Z,ARG,dpi,52,Frepaso,NA,Front for a Country in Solidarity,1996,1997,21,1995,NA,NA,2018-07-11T13:15:31Z,2021-03-12T10:14:51Z,24602,2018-07-11T13:15:31Z
ARG,manifesto,150202,FREPASO,Frente para un País Solidario,Front for a Country in Solidarity,1995,1995,20.7,1995,NA,NA,2018-08-02T13:23:01Z,2023-06-05T10:39:41Z,25054,5553,2018-08-02T13:23:01Z,ARG,dpi,61,UCR/Frepaso,NA,NA,1998,1999,36.3,1997,NA,NA,2018-07-11T13:15:29Z,2021-03-12T10:14:51Z,24587,2018-07-11T13:16:31Z
ARG,manifesto,150022,FPL + UCeDé,Frente por la Lealtad y Unión del Centro Democrático,Front for Loyalty and Union of the Democratic Centre,2003,2003,24.2,2003,NA,NA,2017-03-13T21:05:12Z,2023-06-05T10:39:51Z,18749,4182,2018-04-27T17:09:02Z,ARG,dpi,62,UdCD,NA,Union of the Democratic Centre,1984,1995,9.5,1989,NA,NA,2018-07-11T13:15:30Z,2021-03-12T10:14:51Z,24592,2018-07-11T13:15:30Z
ARG,manifesto,150201,PJ,Partido Justicialista,Justicialist Party,1995,1995,43,1995,NA,NA,2018-08-02T13:23:08Z,2023-06-05T10:40:01Z,25074,623,2018-08-02T13:23:08Z,ARG,dpi,46,FJDL,NA,Justice Liberation Front,1984,1985,37.1,1983,NA,NA,2018-07-11T13:15:35Z,2021-03-12T10:14:51Z,24635,2018-07-11T13:15:35Z
ARG,manifesto,150201,PJ,Partido Justicialista,Justicialist Party,1995,1995,43,1995,NA,NA,2018-08-02T13:23:08Z,2023-06-05T10:40:01Z,25074,623,2018-08-02T13:23:08Z,ARG,dpi,56,PJ,NA,Justicialist Party,1986,2007,54.7,2003,NA,NA,2018-07-11T13:15:35Z,2021-03-12T10:14:51Z,24627,2018-07-11T13:15:35Z
ARG,manifesto,150031,UNA,Una Nación Avanzada,An Advanced Union,2007,2007,17,2007,NA,NA,2017-03-13T21:05:05Z,2023-06-05T10:39:40Z,18710,3889,2018-07-30T11:49:56Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
ARG,manifesto,150301,UCR,Unión Cívica Radical,Civic Radical Union,1989,2013,28.7,1989,NA,NA,2015-11-17T11:43:48Z,2023-06-05T10:39:43Z,15521,1724,2015-11-17T12:07:23Z,ARG,dpi,60,UCR,NA,Radical Civic Union,1984,2015,46.8,1983,NA,NA,2018-07-11T13:15:31Z,2021-03-12T10:14:51Z,24600,2018-07-11T13:15:31Z
ARM,manifesto,76421,A,Ardarutyun,Justice,2003,2003,13.7,2003,NA,NA,2014-02-08T21:29:11Z,2023-06-05T10:39:56Z,3629,2008,2014-02-10T09:21:22Z,ARM,dpi,71,Justice,NA,Justice,2004,2007,13.7,2003,NA,NA,2018-09-06T11:47:59Z,2021-03-12T10:14:51Z,25723,2018-09-06T11:47:59Z
ARM,manifesto,76904,AM,Azgayin Miabanutyun,National Unity Party,2003,2003,8.9,2003,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:40:03Z,3641,2011,2014-02-10T09:23:49Z,ARM,dpi,75,NUP,NA,National Democratic Party,2004,2007,8.9,2003,NA,NA,2018-08-18T19:55:53Z,2021-03-12T10:14:51Z,25395,2018-08-18T19:55:53Z
ARM,manifesto,76904,AM,Azgayin Miabanutyun,National Unity Party,2003,2003,8.9,2003,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:40:03Z,3641,2011,2014-02-10T09:23:49Z,ARM,dpi,82,Unity,NA,National Unity,2000,2003,41.5,1999,NA,NA,2018-07-11T14:42:49Z,2021-03-12T10:14:51Z,24729,2018-07-11T14:42:49Z
ARM,manifesto,76712,AZhM,Azgayin Zhoghovrdakan Miutyun,National Democratic Union,1995,1999,7.7,1995,NA,NA,2014-02-08T21:29:18Z,2023-06-05T10:39:41Z,3739,2009,2014-02-10T09:21:53Z,ARM,dpi,74,NDU,NA,National Democratic Union,1996,2003,7.5,1995,NA,NA,2018-08-18T19:55:53Z,2021-03-12T10:14:51Z,25394,2018-08-18T19:55:53Z
ARM,manifesto,76620,BHK,Bargavadj Hayastan Kusaktsutyun,Prosperous Armenia,2007,2021,30.2,2012,NA,NA,2015-11-17T11:43:39Z,2023-06-05T10:39:42Z,15497,4205,2015-11-17T11:45:58Z,ARM,dpi,67,BH,NA,Prosperous Armenia,2008,2015,28.2,2012,NA,NA,2018-08-18T19:55:17Z,2021-03-12T10:14:51Z,25254,2018-08-18T19:55:17Z
ARM,manifesto,76711,HA,Hanrapetutyun,Republic,1995,1995,43.9,1995,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:40:03Z,3634,2012,2014-02-10T09:24:15Z,ARM,dpi,77,PANM/RB,NA,PANM/Repub. Bloc,1996,1999,42.7,1995,NA,NA,2018-08-18T19:55:26Z,2021-03-12T10:14:51Z,25285,2018-08-18T19:55:26Z
ARM,manifesto,76610,HHK,Hayastani Hanrapetakan Kusaktsutyun,Republican Party of Armenia,2003,2017,49.2,2017,NA,NA,2014-02-08T21:29:19Z,2023-06-05T10:39:43Z,3751,2013,2014-02-10T09:24:41Z,ARM,dpi,70,HHK,NA,Republican Party of Armenia,2004,2015,52.7,2012,NA,NA,2018-07-13T20:35:12Z,2021-03-12T10:14:51Z,24818,2018-07-13T20:35:12Z
ARM,manifesto,76222,HKK,Hayastani Komunistakan Kusaktsutyun,Communist Party of Armenia,1995,1999,12.4,1995,NA,NA,2014-02-08T21:29:16Z,2023-06-05T10:39:49Z,3700,2018,2014-02-10T09:28:26Z,ARM,dpi,63,ACP,NA,Armenian Communist Party,2000,2003,12,1999,NA,NA,2018-09-06T11:47:32Z,2021-03-12T10:14:51Z,25649,2018-09-06T11:47:32Z
ARM,manifesto,76041,HAK,Hay Azgayin Kongres,Armenian National Congress,2012,2012,7.1,2012,NA,NA,2015-11-17T11:43:43Z,2023-06-05T10:39:56Z,15504,4539,2015-11-17T12:05:20Z,ARM,dpi,66,ANC,NA,Armenian National Congress,2013,2015,5.3,2012,NA,NA,2018-08-18T19:55:54Z,2021-03-12T10:14:51Z,25402,2018-08-18T19:55:54Z
ARM,manifesto,76321,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,1999,2017,13.2,2007,NA,NA,2014-02-08T21:29:20Z,2023-06-05T10:39:59Z,3767,2020,2014-02-10T09:34:02Z,ARM,dpi,65,ARF,NA,Armenian Revolutionary Federatioin,1992,2015,13.2,2007,NA,NA,2018-08-18T19:55:55Z,2021-03-12T10:14:51Z,25409,2018-08-18T19:55:55Z
ARM,manifesto,76903,M,Miasnutyun,Unity,1999,1999,42.4,1999,NA,NA,2014-02-08T21:29:08Z,2023-06-05T10:39:56Z,3568,2013,2020-04-18T02:02:14Z,ARM,dpi,70,HHK,NA,Republican Party of Armenia,2004,2015,52.7,2012,NA,NA,2018-07-13T20:35:12Z,2021-03-12T10:14:51Z,24818,2018-07-13T20:35:12Z
ARM,manifesto,76322,MAK,Miavorvac Ashkhatankayin Kusaktsutyun,United Labour Party,2003,2003,5.7,2003,NA,NA,2014-02-08T21:29:17Z,2023-06-05T10:39:56Z,3729,2016,2014-02-10T09:26:35Z,ARM,dpi,81,ULP,NA,United Labour Party,2004,2007,5.7,2003,NA,NA,2018-08-18T19:56:06Z,2021-03-12T10:14:51Z,25465,2018-08-18T19:56:06Z
ARM,manifesto,76420,OEK,Orinats' Yerkir,Rule of Law,1999,2012,12.6,2003,NA,NA,2014-02-08T21:29:15Z,2023-06-05T10:39:46Z,3691,2007,2014-02-10T09:20:55Z,ARM,dpi,73,LGCPA,NA,Law-Governed Country Party of Armenia,2004,2007,13,2003,NA,NA,2018-09-06T11:46:58Z,2021-03-12T10:14:51Z,25524,2019-01-01T12:26:45Z
ARM,manifesto,76901,NA,Shamiram,Semiramis Women’s Movement,1995,1995,17.4,1995,NA,NA,2014-02-08T21:29:11Z,2023-06-05T10:39:45Z,3624,2015,2014-02-10T09:25:56Z,ARM,dpi,80,SW'P,NA,Shamiram Women's Party,1996,1999,16.9,1995,NA,NA,2018-08-18T19:55:57Z,2021-03-12T10:14:51Z,25414,2018-08-18T19:55:57Z
ARM,manifesto,76430,NA,Zharangutyun,Heritage,2007,2012,6,2007,NA,NA,2015-11-17T11:43:51Z,2023-06-05T10:39:39Z,15534,3783,2015-11-17T12:00:32Z,ARM,dpi,69,Heritage,NA,Heritage,2008,2012,6,2007,NA,NA,2018-08-18T19:55:33Z,2021-03-12T10:14:51Z,25308,2018-08-18T19:55:33Z
AUS,manifesto,63320,ALP,Australian Labor Party,Australian Labor Party,1946,2019,50,1954,NA,NA,2013-01-01T18:18:19Z,2023-06-05T10:39:43Z,1980,424,2013-01-01T18:33:19Z,AUS,dpi,83,ALP,NA,Australian Labor Party,1976,2015,52.7,2007,NA,NA,2018-07-13T20:35:14Z,2021-03-12T10:14:51Z,24834,2018-07-13T20:35:14Z
AUS,manifesto,63621,LNP,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2019,9.1,2010,NA,NA,2014-02-08T21:29:14Z,2023-06-05T10:39:43Z,3668,285,2014-02-09T14:06:52Z,AUS,dpi,86,LNP,NA,Liberal National Party,2014,2015,14,2013,NA,NA,2018-09-06T11:47:07Z,2021-03-12T10:14:51Z,25563,2018-09-06T15:00:52Z
AUS,manifesto,63620,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2019,41.8,1975,NA,NA,2013-01-01T18:17:52Z,2023-06-05T10:40:03Z,1851,486,2013-01-01T18:33:21Z,AUS,dpi,87,LPA,NA,Liberal Party of Australia,1976,2015,43.3,2010,NA,NA,2018-07-13T20:35:04Z,2021-03-12T10:14:51Z,24760,2018-07-13T20:35:04Z
AUS,manifesto,63810,NPA,National Party of Australia,National Party of Australia,1946,2019,11.5,1987,NA,NA,2013-01-01T18:17:48Z,2023-06-05T10:39:57Z,1831,1743,2013-01-01T18:33:20Z,AUS,dpi,88,NPA,NA,National Party of Australia,1976,2015,11.5,1987,NA,NA,2018-07-11T14:42:36Z,2021-03-12T10:14:51Z,24686,2018-07-11T14:42:36Z
AUT,manifesto,42710,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,10.7,2008,NA,NA,2014-02-08T21:29:16Z,2023-06-05T10:39:48Z,3710,599,2014-02-09T13:26:45Z,AUT,dpi,89,BZO,NA,Alliance for the Future of Austria,2006,2013,10.7,2008,NA,NA,2018-08-18T19:55:54Z,2021-03-12T10:14:51Z,25400,2018-08-18T19:55:54Z
AUT,manifesto,42110,GRÜNE,Die Grünen,The Greens,1986,2019,13.9,2019,NA,NA,2013-01-01T18:18:24Z,2023-06-05T10:39:58Z,2007,1659,2013-01-01T18:33:21Z,AUT,dpi,90,DG,NA,The Greens,1996,2015,12.4,2013,NA,NA,2018-09-06T11:48:07Z,2021-03-12T10:14:51Z,25758,2018-09-06T15:02:07Z
AUT,manifesto,42110,GRÜNE,Die Grünen,The Greens,1986,2019,13.9,2019,NA,NA,2013-01-01T18:18:24Z,2023-06-05T10:39:58Z,2007,1659,2013-01-01T18:33:21Z,AUT,dpi,92,GAL,NA,Green Alternative,2000,2013,10.5,2006,NA,NA,2018-09-06T11:47:51Z,2021-03-12T10:14:51Z,25698,2018-09-06T15:02:07Z
AUT,manifesto,42110,GRÜNE,Die Grünen,The Greens,1986,2019,13.9,2019,NA,NA,2013-01-01T18:18:24Z,2023-06-05T10:39:58Z,2007,1659,2013-01-01T18:33:21Z,AUT,dpi,97,VGO/ALO,NA,NA,1987,1995,7.3,1994,NA,NA,2018-07-11T14:42:41Z,2021-03-12T10:14:51Z,24710,2018-07-11T14:42:41Z
AUT,manifesto,42420,FPÖ,Freiheitliche Partei Österreichs,Austrian Freedom Party,1949,2019,26.9,1999,NA,NA,2013-01-01T18:17:11Z,2023-06-05T10:39:45Z,1656,463,2013-01-01T18:33:23Z,AUT,dpi,91,FPO,NA,Freedom Party of Austria,1976,2015,26.9,1999,NA,NA,2018-08-18T19:55:15Z,2021-03-12T10:14:51Z,25240,2018-08-18T19:55:15Z
AUT,manifesto,42421,LIF,Liberales Forum,Liberal Forum,1994,1995,6,1994,NA,NA,2013-01-01T18:17:57Z,2023-06-05T10:39:55Z,1875,605,2013-01-01T18:33:22Z,AUT,dpi,93,LF,NA,Liberal Forum,1995,1999,6,1994,NA,NA,2018-08-18T19:55:24Z,2021-03-12T10:14:51Z,25275,2018-08-18T19:55:24Z
AUT,manifesto,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1949,2019,48.3,1966,NA,NA,2013-01-01T18:18:05Z,2023-06-05T10:39:45Z,1913,1329,2013-01-01T18:33:24Z,AUT,dpi,94,OVP,NA,Austrian People's Party,1976,2015,43.2,1983,NA,NA,2018-07-13T20:35:18Z,2021-03-12T10:14:51Z,24872,2018-07-13T20:35:19Z
AUT,manifesto,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1949,2019,51,1979,NA,NA,2013-01-01T18:17:22Z,2023-06-05T10:39:49Z,1711,1384,2013-01-01T18:33:22Z,AUT,dpi,95,SPO,NA,Social Democratic Party of Austria,1975,2015,51,1979,NA,NA,2018-07-13T20:35:17Z,2021-03-12T10:14:51Z,24856,2018-07-13T20:35:17Z
AUT,manifesto,42951,TS,Team Stronach für Österreich,Team Stronach for Austria,2013,2013,5.7,2013,NA,NA,2018-08-02T13:23:03Z,2023-06-05T10:40:01Z,25061,1971,2018-08-02T13:23:03Z,AUT,dpi,96,TS,NA,Team Stronach,2014,2015,5.7,2013,NA,NA,2018-08-18T19:55:32Z,2021-03-12T10:14:51Z,25307,2018-08-18T19:55:33Z
AZE,manifesto,77420,AXC,Azərbaycan Xalq Cebhesi,Azerbaijan Popular Front,1995,2000,11,2000,NA,NA,2014-02-08T21:29:11Z,2023-06-05T10:39:49Z,3626,1992,2014-02-09T23:22:59Z,AZE,dpi,105,PFA,NA,Popular Front of Azerbaijan,1993,2005,3.2,1995,NA,NA,2018-07-13T20:35:07Z,2021-03-12T10:14:51Z,24779,2018-07-13T20:35:07Z
AZE,manifesto,77220,YAP,Yeni  Azərbaycan Partiyası,New Azerbaijan Party,1995,2000,66.1,1995,NA,NA,2014-02-08T21:29:21Z,2023-06-05T10:39:49Z,3779,1995,2014-02-09T23:24:50Z,AZE,dpi,109,YAP,NA,New Azerbaijan Party,1993,2015,70,1995,NA,NA,2018-07-11T13:15:35Z,2021-03-12T10:14:51Z,24636,2018-07-11T13:15:35Z
BLR,manifesto,78212,APB,Agrarnaya Partiya Belarusi,Agrarian Party of Belarus,1995,1995,NA,1995,NA,NA,2014-02-08T21:29:14Z,2023-06-05T10:39:59Z,3663,2037,2014-02-13T10:51:16Z,BLR,dpi,139,Agrarians,NA,NA,1997,1997,26.3,1997,NA,NA,2018-07-11T13:15:34Z,2021-03-12T10:14:51Z,24622,2018-07-16T18:12:57Z
BLR,manifesto,78212,APB,Agrarnaya Partiya Belarusi,Agrarian Party of Belarus,1995,1995,NA,1995,NA,NA,2014-02-08T21:29:14Z,2023-06-05T10:39:59Z,3663,2037,2014-02-13T10:51:16Z,BLR,dpi,140,APB,NA,Agramaya Partya Belarusi,1995,2015,17.6,1995,NA,NA,2018-07-11T13:15:29Z,2021-03-12T10:14:51Z,24581,2018-07-11T13:16:43Z
BLR,manifesto,78211,PKB,Partiya Komunistau Belaruskaya,Party of Communists of Belarus,1995,1995,NA,1995,NA,NA,2014-02-08T21:29:15Z,2023-06-05T10:39:59Z,3682,2030,2014-02-13T10:41:55Z,BLR,dpi,147,KPB,NA,Kummunisticheskaya Partya Belarusi,1992,2015,22.5,1995,NA,NA,2018-07-11T13:15:35Z,2021-03-12T10:14:51Z,24639,2018-07-11T13:15:36Z
BEL,manifesto,21522,cdH,Centre démocrate humaniste,Humanist Democratic Centre,1968,2014,11.7,1968,NA,NA,2013-01-01T18:18:16Z,2023-06-05T10:39:40Z,1966,633,2013-01-01T18:33:29Z,BEL,dpi,158,CDH,NA,Centre d_mocrate humaniste,2004,2015,5.5,2003,NA,NA,2018-09-06T11:48:10Z,2021-03-12T10:14:51Z,25764,2022-05-12T10:21:59Z
BEL,manifesto,21522,cdH,Centre démocrate humaniste,Humanist Democratic Centre,1968,2014,11.7,1968,NA,NA,2013-01-01T18:18:16Z,2023-06-05T10:39:40Z,1966,633,2013-01-01T18:33:29Z,BEL,dpi,174,PSC,NA,Parti Social Chr_tien,1982,2003,6.7,1981,NA,NA,2018-08-18T19:56:08Z,2021-03-12T10:14:51Z,25475,2018-08-18T19:56:08Z
BEL,manifesto,21521,CD&V,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2019,26.2,1977,NA,NA,2013-01-01T18:17:15Z,2023-06-05T10:39:57Z,1679,622,2013-01-01T18:33:25Z,BEL,dpi,161,CVP,NA,Christelijke Volkspartij,1982,2003,21.3,1985,NA,NA,2018-07-13T20:35:02Z,2021-03-12T10:14:51Z,24739,2018-07-13T20:35:02Z
BEL,manifesto,21913,VU,De Volksunie,Peoples’ Union,1954,1995,11.1,1971,NA,NA,2013-01-01T18:17:03Z,2023-06-05T10:39:41Z,1623,1424,2020-04-18T01:49:11Z,BEL,dpi,183,Volksunie,NA,Volksunie,1975,1987,9.9,1981,NA,NA,2018-07-11T14:42:33Z,2021-03-12T10:14:51Z,24681,2018-07-11T14:42:33Z
BEL,manifesto,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,5.6,1999,NA,NA,2013-01-01T18:18:13Z,2023-06-05T10:39:54Z,1953,1424,2016-08-03T09:15:05Z,BEL,dpi,183,Volksunie,NA,Volksunie,1975,1987,9.9,1981,NA,NA,2018-07-11T14:42:33Z,2021-03-12T10:14:51Z,24681,2018-07-11T14:42:33Z
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,7.4,1999,NA,NA,2013-01-01T18:17:29Z,2023-06-05T10:39:52Z,1740,1563,2013-01-01T18:33:32Z,BEL,dpi,162,ECOLO,NA,NA,2008,2014,5.1,2007,NA,NA,2018-08-18T19:55:51Z,2021-03-12T10:14:51Z,25386,2018-08-18T19:55:51Z
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,7.4,1999,NA,NA,2013-01-01T18:17:29Z,2023-06-05T10:39:52Z,1740,1563,2013-01-01T18:33:32Z,BEL,dpi,163,Ecologist,NA,�cologistes Conf_d_r_s pour l'organisation de luttes originales,1988,1995,10,1991,NA,NA,2018-09-06T11:48:22Z,2021-03-12T10:14:51Z,25789,2018-09-11T18:09:26Z
BEL,manifesto,21426,MR,Mouvement Réformateur,Reform Movement,2003,2014,12.5,2007,NA,NA,2014-02-08T21:29:12Z,2023-06-05T10:40:03Z,3640,789,2014-02-09T14:30:57Z,BEL,dpi,169,MR,NA,Mouvement R_formateur,2004,2015,12.5,2007,NA,NA,2018-07-13T20:35:21Z,2021-03-12T10:14:51Z,24883,2018-07-13T20:35:21Z
BEL,manifesto,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2019,20.3,2014,NA,NA,2014-02-08T21:29:15Z,2023-06-05T10:40:02Z,3694,36,2014-02-09T22:56:07Z,BEL,dpi,170,N-VA,NA,NA,2011,2015,20.3,2014,NA,NA,2018-08-18T19:55:34Z,2021-03-12T10:14:51Z,25311,2018-08-18T19:55:34Z
